zeo_id,largest_included_sphere,largest_free_sphere,largest_included_sphere_along_free_sphere_path,Unitcell_volume:,Density:,ASA_A^2:,NASA_A^2:,num_1d_chan,num_2d_chan,num_3d_chan,num_chan
ACO,3.91932,3.15925,3.91898,971.77,1.64272,211.848,0.0,0,0,1,1
AEN,3.90726,3.18878,3.90265,2384.73,2.00821,259.188,0.0,4,0,0,4
AFN,4.75303,3.08413,4.75303,1839.54,1.73559,285.111,0.0,2,0,0,2
AFO,5.02827,4.33443,5.02827,2082.54,1.91635,204.248,0.0,2,0,0,2
APD,4.21666,3.22754,4.21268,1779.08,1.79457,229.055,0.0,4,0,0,4
ASV,4.94907,4.0279,4.94907,1047.24,1.90542,139.191,0.0,1,0,0,1
ATV,3.9155,3.04175,3.9155,1269.0,1.88693,111.782,0.547391,2,0,0,2
BSV,4.76811,3.43565,4.76769,5134.74,1.86535,820.759,0.0,0,0,2,2
CFI,7.07089,6.86062,7.07089,1908.33,1.67303,214.249,13.6283,2,0,0,2
CHA,6.74106,3.3192,6.7375,2391.54,1.54631,486.072,1.62023,0,0,1,1
DAC,4.79198,3.42236,4.78242,1375.15,1.74128,232.237,0.0,0,2,0,2
DDR,7.07203,3.24572,7.07203,6715.86,1.79856,725.745,155.846,0,3,0,3
DFT,4.1931,3.24838,4.1931,451.652,1.76723,68.9857,0.0,1,0,0,1
ERI,6.30639,3.02119,6.30639,2239.48,1.60385,388.465,4.90031,0,0,1,1
ETR,9.61116,8.92233,9.61116,3106.84,1.54145,513.73,0.0,1,0,0,1
EZT,5.90376,5.61065,5.90376,2790.77,1.71603,396.755,0.0,2,0,0,2
FER,5.42308,4.28927,5.14576,2051.26,1.75101,320.173,0.0,2,0,0,2
GON,5.67216,4.87232,5.67216,1691.91,1.88704,154.285,2.21565,2,0,0,2
IMF,6.69777,4.88684,6.31633,16472.3,1.7444,2339.15,7.95282,0,2,0,2
ITR,5.95862,4.72055,5.95862,6454.7,1.73121,981.931,0.0,0,1,0,1
ITW,4.1615,3.47799,4.1615,1354.1,1.76836,215.158,0.0,2,0,0,2
IWR,6.9016,5.50682,6.89937,3580.23,1.56058,627.526,0.0,0,0,1,1
IWW,6.55466,5.84333,6.52551,6737.05,1.65865,1095.53,0.0,0,0,1,1
JRY,4.10173,3.72442,4.10173,1299.09,1.84323,173.462,0.0,2,0,0,2
LEV,6.38923,3.13253,6.20078,3390.44,1.58908,617.592,0.278913,0,3,0,3
LOV,4.26995,3.37722,3.75391,1071.12,1.67665,195.224,0.0,0,0,1,1
LTA,10.23827,3.81365,10.23827,1693.24,1.41416,276.63,41.9974,0,0,1,1
LTL,9.61198,7.09968,9.61198,2153.07,1.66822,234.475,11.7113,1,0,0,1
MAZ,7.68968,7.10074,7.55124,2161.85,1.66144,348.092,0.0,1,0,0,1
MEI,7.66225,6.47433,7.66225,2317.9,1.4635,438.1,0.0,1,0,0,1
MFI,5.94159,4.29903,5.93816,5211.28,1.83795,722.654,0.0,0,0,1,1
MSE,6.50057,6.01025,6.48726,6843.76,1.63279,1072.22,11.8388,0,0,1,1
MTT,5.54495,4.55815,5.48231,1318.21,1.8165,138.309,0.0,2,0,0,2
MTW,5.31344,5.09838,5.30833,1535.76,1.81904,168.676,0.684239,2,0,0,2
MWW,9.28791,4.17151,5.72769,4518.75,1.58973,764.82,0.889511,0,2,0,2
NAT,3.94936,3.84735,3.94707,1231.5,1.62033,264.057,0.0,4,0,0,4
NPO,3.34323,3.1114,3.34323,320.672,1.8668,25.2796,0.0,1,0,0,1
OSO,5.674,5.46744,5.674,675.695,1.32892,165.283,0.0,1,0,0,1
RHO,10.03077,3.66161,9.10829,3320.62,1.44221,640.105,0.0,0,0,2,2
RRO,3.86868,3.52279,3.86868,1007.7,1.78217,170.34,0.0,2,0,0,2
RTH,7.63706,3.73943,7.63706,1988.84,1.60531,330.733,0.0,2,0,0,2
SAF,6.24034,5.73442,6.24034,3368.61,1.89556,301.649,0.0,2,0,0,2
SAO,8.22178,6.29826,8.22178,3948.06,1.41518,727.336,1.50533,0,0,1,1
SBE,12.09716,6.83474,10.92223,9320.78,1.37014,1583.29,0.0,0,0,2,2
SBN,4.41766,3.40289,4.38953,619.37,1.61086,126.838,0.0,0,2,0,2
SFO,7.48533,6.54891,7.48533,2109.75,1.5133,381.457,0.0,0,2,0,2
SSY,6.93735,5.53509,6.65337,1659.35,1.68355,215.19,0.0,2,0,0,2
STI,5.82266,4.54185,5.81726,4312.59,1.66572,759.527,0.0,4,0,0,4
STT,6.56577,3.67399,6.56577,3773.0,1.69239,585.15,0.0,2,0,0,2
TER,6.18221,4.69054,6.17894,4694.05,1.7004,732.686,0.0,0,2,0,2
TSC,15.87086,3.68135,15.87086,29053.4,1.31869,4700.79,307.86,0,0,1,1
VFI,11.40675,10.99327,11.19297,2486.66,1.44442,308.692,3.48962,1,0,0,1
VSV,3.74729,3.37111,3.65169,2142.66,1.67632,401.068,0.0,0,4,0,4
h8000013,3.99843,2.96915,3.99843,464.464,1.71848,81.9001,0.0,0,0,0,0
h8000019,4.08042,3.253,4.08042,461.004,1.73138,79.7436,0.0,1,0,0,1
h8000107,4.04001,3.63602,4.04001,418.98,1.90504,44.2347,0.0,1,0,0,1
h8000109,3.98153,3.24245,3.98153,464.771,1.71735,88.1089,0.0,1,0,0,1
h8000283,4.53531,3.92932,4.53531,439.686,1.81533,66.0402,0.0,1,0,0,1
h8000288,4.20582,3.07717,4.0974,455.143,1.75368,77.3985,0.0,1,0,0,1
h8000293,3.76368,3.20764,3.76368,409.829,1.94758,53.069,0.0,1,0,0,1
h8000297,3.9993,3.78035,3.9993,404.824,1.97166,44.0112,0.0,1,0,0,1
h8000317,5.16327,3.82578,5.16327,855.079,1.8669,116.927,0.0,1,0,0,1
h8000343,3.46008,2.92967,3.45422,793.727,2.01121,67.4835,0.0,0,0,0,0
h8000348,4.16786,3.06424,4.00893,793.189,2.01257,68.8295,0.0,1,0,0,1
h8000359,3.72995,2.87277,3.69791,812.815,1.96398,97.953,0.0,0,0,0,0
h8000390,3.35437,2.84405,3.35437,603.398,1.9842,60.9738,0.0,0,0,0,0
h8000431,4.02243,3.03159,3.98903,736.765,1.89586,84.0742,0.0,2,0,0,2
h8000432,4.07147,3.16647,4.02701,869.592,1.83575,118.972,0.0,1,0,0,1
h8000435,4.74674,3.88432,4.74674,831.837,1.91907,99.6563,0.0,1,0,0,1
h8000444,3.8858,3.04363,3.8858,813.375,1.96262,83.3088,0.0,1,0,0,1
h8000479,3.72721,2.83735,3.72552,615.011,1.94673,78.4034,0.0,0,0,0,0
h8000484,4.35947,3.34403,4.35947,695.722,2.00771,75.5287,0.0,1,0,0,1
h8000492,4.14059,3.26676,4.14059,844.288,1.89076,113.637,0.0,1,0,0,1
h8000520,3.65857,2.62126,3.65857,653.732,2.13666,53.9481,3.95862,0,0,0,0
h8000521,3.64153,3.39059,3.64134,774.844,2.06022,79.447,0.0,1,0,0,1
h8000538,3.87922,3.00123,3.87286,830.165,1.92293,106.737,0.0,1,0,0,1
h8000589,4.50918,3.2608,4.50918,911.979,1.75042,162.33,0.0,0,1,0,1
h8000592,4.382,3.55301,4.382,794.175,2.01007,98.9028,0.0,0,1,0,1
h8000635,3.75794,2.89315,3.75794,821.175,1.94398,94.9562,0.0,0,0,0,0
h8000766,4.44299,3.76512,4.44299,860.489,1.85517,127.679,0.0,1,0,0,1
h8000798,3.58527,2.80435,3.58527,804.818,1.98349,79.542,0.0,0,0,0,0
h8000809,4.1502,2.94402,4.14995,783.832,2.0366,86.9264,0.0,0,0,0,0
h8000811,5.41806,4.70137,5.41187,959.476,1.66377,165.455,0.0,1,0,0,1
h8000812,3.72011,3.1331,3.72011,726.671,1.9222,55.3103,0.0,1,0,0,1
h8000850,3.52875,2.82365,3.52875,736.407,2.16775,44.5967,0.0,0,0,0,0
h8000861,4.23143,3.27896,4.23143,805.869,1.9809,74.7273,0.0,1,0,0,1
h8000927,4.29644,2.71754,4.20537,781.92,2.04158,67.4606,0.0,0,0,0,0
h8000975,3.63898,3.01174,3.63102,759.702,2.10128,78.7282,0.0,1,0,0,1
h8001054,4.39876,3.0304,4.39876,772.636,2.06611,79.8372,0.0,1,0,0,1
h8001055,3.9209,3.31874,3.9209,731.586,1.90928,112.758,0.0,2,0,0,2
h8001224,3.62881,2.83355,3.62881,761.663,2.09587,48.1772,0.484185,0,0,0,0
h8001323,3.82587,2.68279,3.82587,845.165,1.8888,126.107,0.0,0,0,0,0
h8001329,6.87136,5.94196,6.8615,993.1,1.60744,164.275,0.0,1,0,0,1
h8001335,3.8306,3.38916,3.82157,766.54,2.08254,75.1405,0.0,1,0,0,1
h8001337,5.09209,4.09117,5.09209,881.117,1.81173,109.836,1.47188,1,0,0,1
h8001338,4.25413,3.18459,4.25413,818.094,1.9513,117.605,0.0,1,0,0,1
h8001341,4.47919,3.61189,4.47919,781.943,2.04151,56.1085,0.41837,1,0,0,1
h8001344,5.27923,3.74014,5.27923,892.29,1.78905,130.708,0.0,1,0,0,1
h8001349,4.01208,3.72958,4.01208,757.387,1.84424,59.4612,24.9974,1,0,0,1
h8001350,3.66823,3.34838,3.66823,755.22,2.11375,70.9943,0.0,1,0,0,1
h8001357,4.40272,3.7146,4.40081,903.217,1.7674,142.876,0.0,1,0,0,1
h8001360,4.43769,3.48443,4.43769,804.57,1.9841,107.247,0.0,1,0,0,1
h8001365,5.20447,3.22493,5.20447,810.596,1.96935,86.0924,0.0,1,0,0,1
h8001370,4.95633,3.58564,4.95633,934.442,1.70835,160.654,0.0,1,0,0,1
h8001373,4.57294,4.17874,4.57294,786.278,2.03026,81.5146,0.0,1,0,0,1
h8001380,4.37627,3.58499,4.37627,833.417,1.91543,80.7575,22.6866,1,0,0,1
h8001381,6.47301,6.15397,6.47301,876.035,1.82224,112.562,0.0,1,0,0,1
h8001385,5.38841,4.18083,5.38841,837.889,1.66705,160.624,0.0,0,1,0,1
h8001390,4.88939,3.48342,4.88939,779.609,2.04763,97.6507,0.0,1,0,0,1
h8001393,3.99417,3.18989,3.99417,593.485,1.68112,115.242,0.0,1,0,0,1
h8001394,4.89751,3.10337,4.88405,779.816,1.7912,126.229,0.0,1,0,0,1
h8001397,4.08283,3.16857,4.07736,839.493,1.90156,96.933,0.0,1,0,0,1
h8001398,4.17917,3.32418,4.17917,702.465,1.98843,84.0119,0.0,1,0,0,1
h8001408,5.61802,4.56856,5.61802,620.467,1.92961,72.565,0.0,1,0,0,1
h8001410,5.74901,4.17325,5.74901,852.433,1.8727,122.588,0.0,1,0,0,1
h8001411,4.50428,2.88635,4.50428,817.638,1.95239,88.4387,5.59605,0,0,0,0
h8001434,3.85766,3.08424,3.85766,749.885,2.12879,62.4926,0.0,1,0,0,1
h8001438,4.39242,3.32137,4.39242,866.557,1.84217,121.093,0.0,1,0,0,1
h8001440,4.07783,3.05744,4.05163,801.03,1.99287,83.9398,0.486794,1,0,0,1
h8001444,3.40254,2.66313,3.39911,505.851,1.97235,70.1419,0.0,0,0,0,0
h8001448,5.03862,4.22274,5.03862,726.364,1.92301,99.0494,0.0,1,0,0,1
h8001452,4.10318,3.06798,4.0369,655.729,2.13016,56.8292,0.0,1,0,0,1
h8001454,4.46075,2.94547,4.44947,763.842,2.08989,74.5885,0.0,0,0,0,0
h8001476,6.38885,5.97605,6.38885,872.17,1.83032,112.633,0.0,1,0,0,1
h8001477,4.43065,3.08375,4.42724,900.897,1.77196,122.789,1.58418,2,0,0,2
h8001478,6.3834,5.50322,6.21295,878.252,1.81764,113.115,0.0,1,0,0,1
h8001481,4.78376,3.211,4.76851,783.61,1.78253,130.771,0.0,0,1,0,1
h8001486,4.26387,3.01627,4.25761,871.489,1.83175,112.872,0.0,2,0,0,2
h8001492,4.41054,3.26838,4.39933,775.659,2.05806,72.5634,0.0,1,0,0,1
h8001500,5.33583,4.94824,5.33583,749.619,1.86335,88.0632,0.0,1,0,0,1
h8001503,4.56109,3.8203,4.53984,779.373,2.04825,77.9103,0.0,1,0,0,1
h8001505,4.9098,4.08695,4.89933,823.97,1.93739,94.0663,0.0,1,0,0,1
h8001507,5.84423,2.94761,5.84423,878.273,1.8176,126.866,0.0,0,0,0,0
